0;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;;;;;;;;;;;;;;;;;;;;;;;;
20070303;03/03/2007 00:00;samedi, mars 03 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070226;26/02/2007 00:00;Semaine 9, 2007;62;Jour 62;62;Jour 62;62;Jour 62;3;Jour 3;6;Jour 6;9;Semaine 9;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070304;04/03/2007 00:00;dimanche, mars 04 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070226;26/02/2007 00:00;Semaine 9, 2007;63;Jour 63;63;Jour 63;63;Jour 63;4;Jour 4;7;Jour 7;9;Semaine 9;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070305;05/03/2007 00:00;lundi, mars 05 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;64;Jour 64;64;Jour 64;64;Jour 64;5;Jour 5;1;Jour 1;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070306;06/03/2007 00:00;mardi, mars 06 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;65;Jour 65;65;Jour 65;65;Jour 65;6;Jour 6;2;Jour 2;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070307;07/03/2007 00:00;mercredi, mars 07 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;66;Jour 66;66;Jour 66;66;Jour 66;7;Jour 7;3;Jour 3;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070308;08/03/2007 00:00;jeudi, mars 08 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;67;Jour 67;67;Jour 67;67;Jour 67;8;Jour 8;4;Jour 4;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070309;09/03/2007 00:00;vendredi, mars 09 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;68;Jour 68;68;Jour 68;68;Jour 68;9;Jour 9;5;Jour 5;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070310;10/03/2007 00:00;samedi, mars 10 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;69;Jour 69;69;Jour 69;69;Jour 69;10;Jour 10;6;Jour 6;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070311;11/03/2007 00:00;dimanche, mars 11 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070305;05/03/2007 00:00;Semaine 10, 2007;70;Jour 70;70;Jour 70;70;Jour 70;11;Jour 11;7;Jour 7;10;Semaine 10;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070312;12/03/2007 00:00;lundi, mars 12 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;71;Jour 71;71;Jour 71;71;Jour 71;12;Jour 12;1;Jour 1;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070313;13/03/2007 00:00;mardi, mars 13 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;72;Jour 72;72;Jour 72;72;Jour 72;13;Jour 13;2;Jour 2;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070314;14/03/2007 00:00;mercredi, mars 14 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;73;Jour 73;73;Jour 73;73;Jour 73;14;Jour 14;3;Jour 3;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070315;15/03/2007 00:00;jeudi, mars 15 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;74;Jour 74;74;Jour 74;74;Jour 74;15;Jour 15;4;Jour 4;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070316;16/03/2007 00:00;vendredi, mars 16 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;75;Jour 75;75;Jour 75;75;Jour 75;16;Jour 16;5;Jour 5;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070317;17/03/2007 00:00;samedi, mars 17 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;76;Jour 76;76;Jour 76;76;Jour 76;17;Jour 17;6;Jour 6;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070318;18/03/2007 00:00;dimanche, mars 18 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070312;12/03/2007 00:00;Semaine 11, 2007;77;Jour 77;77;Jour 77;77;Jour 77;18;Jour 18;7;Jour 7;11;Semaine 11;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070319;19/03/2007 00:00;lundi, mars 19 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;78;Jour 78;78;Jour 78;78;Jour 78;19;Jour 19;1;Jour 1;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070320;20/03/2007 00:00;mardi, mars 20 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;79;Jour 79;79;Jour 79;79;Jour 79;20;Jour 20;2;Jour 2;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070321;21/03/2007 00:00;mercredi, mars 21 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;80;Jour 80;80;Jour 80;80;Jour 80;21;Jour 21;3;Jour 3;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070322;22/03/2007 00:00;jeudi, mars 22 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;81;Jour 81;81;Jour 81;81;Jour 81;22;Jour 22;4;Jour 4;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070323;23/03/2007 00:00;vendredi, mars 23 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;82;Jour 82;82;Jour 82;82;Jour 82;23;Jour 23;5;Jour 5;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070324;24/03/2007 00:00;samedi, mars 24 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;83;Jour 83;83;Jour 83;83;Jour 83;24;Jour 24;6;Jour 6;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070325;25/03/2007 00:00;dimanche, mars 25 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070319;19/03/2007 00:00;Semaine 12, 2007;84;Jour 84;84;Jour 84;84;Jour 84;25;Jour 25;7;Jour 7;12;Semaine 12;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070326;26/03/2007 00:00;lundi, mars 26 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;85;Jour 85;85;Jour 85;85;Jour 85;26;Jour 26;1;Jour 1;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070327;27/03/2007 00:00;mardi, mars 27 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;86;Jour 86;86;Jour 86;86;Jour 86;27;Jour 27;2;Jour 2;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070328;28/03/2007 00:00;mercredi, mars 28 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;87;Jour 87;87;Jour 87;87;Jour 87;28;Jour 28;3;Jour 3;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070329;29/03/2007 00:00;jeudi, mars 29 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;88;Jour 88;88;Jour 88;88;Jour 88;29;Jour 29;4;Jour 4;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070330;30/03/2007 00:00;vendredi, mars 30 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;89;Jour 89;89;Jour 89;89;Jour 89;30;Jour 30;5;Jour 5;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070331;31/03/2007 00:00;samedi, mars 31 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070101;01/01/2007 00:00;Trimestre 1, 2007;20070301;01/03/2007 00:00;mars 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;90;Jour 90;90;Jour 90;90;Jour 90;31;Jour 31;6;Jour 6;13;Semaine 13;3;Mois 3;3;Mois 3;3;Mois 3;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20070401;01/04/2007 00:00;dimanche, avril 01 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070326;26/03/2007 00:00;Semaine 13, 2007;91;Jour 91;91;Jour 91;1;Jour 1;1;Jour 1;7;Jour 7;13;Semaine 13;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070402;02/04/2007 00:00;lundi, avril 02 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;92;Jour 92;92;Jour 92;2;Jour 2;2;Jour 2;1;Jour 1;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070403;03/04/2007 00:00;mardi, avril 03 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;93;Jour 93;93;Jour 93;3;Jour 3;3;Jour 3;2;Jour 2;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070404;04/04/2007 00:00;mercredi, avril 04 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;94;Jour 94;94;Jour 94;4;Jour 4;4;Jour 4;3;Jour 3;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070405;05/04/2007 00:00;jeudi, avril 05 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;95;Jour 95;95;Jour 95;5;Jour 5;5;Jour 5;4;Jour 4;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070406;06/04/2007 00:00;vendredi, avril 06 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;96;Jour 96;96;Jour 96;6;Jour 6;6;Jour 6;5;Jour 5;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070407;07/04/2007 00:00;samedi, avril 07 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;97;Jour 97;97;Jour 97;7;Jour 7;7;Jour 7;6;Jour 6;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070408;08/04/2007 00:00;dimanche, avril 08 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070402;02/04/2007 00:00;Semaine 14, 2007;98;Jour 98;98;Jour 98;8;Jour 8;8;Jour 8;7;Jour 7;14;Semaine 14;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070409;09/04/2007 00:00;lundi, avril 09 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;99;Jour 99;99;Jour 99;9;Jour 9;9;Jour 9;1;Jour 1;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070410;10/04/2007 00:00;mardi, avril 10 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;100;Jour 100;100;Jour 100;10;Jour 10;10;Jour 10;2;Jour 2;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070411;11/04/2007 00:00;mercredi, avril 11 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;101;Jour 101;101;Jour 101;11;Jour 11;11;Jour 11;3;Jour 3;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070412;12/04/2007 00:00;jeudi, avril 12 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;102;Jour 102;102;Jour 102;12;Jour 12;12;Jour 12;4;Jour 4;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070413;13/04/2007 00:00;vendredi, avril 13 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;103;Jour 103;103;Jour 103;13;Jour 13;13;Jour 13;5;Jour 5;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070414;14/04/2007 00:00;samedi, avril 14 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;104;Jour 104;104;Jour 104;14;Jour 14;14;Jour 14;6;Jour 6;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070415;15/04/2007 00:00;dimanche, avril 15 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070409;09/04/2007 00:00;Semaine 15, 2007;105;Jour 105;105;Jour 105;15;Jour 15;15;Jour 15;7;Jour 7;15;Semaine 15;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070416;16/04/2007 00:00;lundi, avril 16 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;106;Jour 106;106;Jour 106;16;Jour 16;16;Jour 16;1;Jour 1;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070417;17/04/2007 00:00;mardi, avril 17 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;107;Jour 107;107;Jour 107;17;Jour 17;17;Jour 17;2;Jour 2;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070418;18/04/2007 00:00;mercredi, avril 18 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;108;Jour 108;108;Jour 108;18;Jour 18;18;Jour 18;3;Jour 3;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070419;19/04/2007 00:00;jeudi, avril 19 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;109;Jour 109;109;Jour 109;19;Jour 19;19;Jour 19;4;Jour 4;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070420;20/04/2007 00:00;vendredi, avril 20 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;110;Jour 110;110;Jour 110;20;Jour 20;20;Jour 20;5;Jour 5;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070421;21/04/2007 00:00;samedi, avril 21 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;111;Jour 111;111;Jour 111;21;Jour 21;21;Jour 21;6;Jour 6;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070422;22/04/2007 00:00;dimanche, avril 22 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070416;16/04/2007 00:00;Semaine 16, 2007;112;Jour 112;112;Jour 112;22;Jour 22;22;Jour 22;7;Jour 7;16;Semaine 16;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070423;23/04/2007 00:00;lundi, avril 23 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070423;23/04/2007 00:00;Semaine 17, 2007;113;Jour 113;113;Jour 113;23;Jour 23;23;Jour 23;1;Jour 1;17;Semaine 17;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070424;24/04/2007 00:00;mardi, avril 24 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070423;23/04/2007 00:00;Semaine 17, 2007;114;Jour 114;114;Jour 114;24;Jour 24;24;Jour 24;2;Jour 2;17;Semaine 17;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
20070425;25/04/2007 00:00;mercredi, avril 25 2007;20070101;01/01/2007 00:00;Calendrier 2007;20070101;01/01/2007 00:00;Semestre 1, 2007;20070401;01/04/2007 00:00;Trimestre 2, 2007;20070401;01/04/2007 00:00;avril 2007;20070423;23/04/2007 00:00;Semaine 17, 2007;115;Jour 115;115;Jour 115;25;Jour 25;25;Jour 25;3;Jour 3;17;Semaine 17;4;Mois 4;4;Mois 4;1;Mois 1;2;Trimestre 2;2;Trimestre 2;1;Semestre 1
